from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
571,Intel Iris Pro 580,2032,8
572,Ryzen 7 4700U with Radeon Graphics,2032,8
573,Ryzen 7 PRO 4750U with Radeon Graphics,2028,8
574,Quadro K4000M,2026,8
575,Radeon R9 M470,2023,8
576,Radeon Ryzen 7 4700U with,2023,8
577,Quadro 5000,2019,8
578,Radeon Ryzen 7 PRO 4750U,2017,8
579,Ryzen 5 PRO 4500U with Radeon Graphics,2008,8
580,GeForce GT 645,2006,8
581,Radeon Ryzen 7 4800H with,2005,8
582,Radeon Ryzen 7 PRO 4750U with,1990,7
583,Radeon HD 6850,1986,7
584,Radeon R7 + R7 350 Dual,1982,7
585,Radeon Ryzen 5 5600U,1982,7
586,Radeon HD 5850,1981,7
587,Radeon R7 450,1972,7
588,GeForce GTX 460 SE,1970,7
589,Radeon R9 350,1964,7
590,Radeon R7 + HD 7700 Dual,1962,7
591,Radeon HD 7660D + HD 7700 Dual,1958,7
592,GeForce GTX 470M,1953,7
593,GeForce GTX 765M,1952,7
594,Ryzen 5 4600U with Radeon Graphics,1951,7
595,GeForce GTX 670MX,1938,7
596,Ryzen 5 4600H with Radeon Graphics,1937,7
597,Radeon Ryzen 5 4600H with,1931,7
598,Radeon R9 M385X,1929,7
599,Radeon Ryzen 5 4600U with,1924,7
600,GeForce GTX 570M,1923,7
601,Radeon RX 570X,1923,7
602,Radeon HD 7560D + 7700 Dual,1919,7
603,GeForce MX130,1918,7
604,GeForce GTX 675M,1904,7
605,Matrox C680 PCIe x16,1904,7
606,Ryzen 3 4300G with Radeon Graphics,1903,7
607,GeForce MX230,1899,7
608,Radeon HD 7700-serie,1899,7
609,Intel UHD P750,1898,7
610,Radeon HD 8670D + HD 7700 Dual,1892,7
611,Quadro 5010M,1891,7
612,Radeon Ryzen 5 PRO 5650U,1880,7
613,GeForce GTX 645,1878,7
614,GeForce 945M,1871,7
615,FirePro 3D V7800,1867,7
616,Intel Iris Plus,1861,7
617,GeForce 945A,1852,7
618,GRID T4-2Q,1850,7
619,Radeon RX 540,1844,7
620,Radeon RX Vega 11 Processor,1843,7
621,FirePro M5100 FireGL V,1839,7
622,GRID M60-0B,1838,7
623,Radeon HD 8570D + HD 7700 Dual,1835,7
624,Radeon R9 M375X,1835,7
625,Radeon Ryzen 5 4600U,1834,7
626,Radeon Vega 11,1831,7
627,Radeon R9 M385,1827,7
628,MxGPU,1826,7
629,FirePro M6000,1820,7
630,Radeon Ryzen 5 4500U,1818,7
631,Ryzen 5 4500U with Radeon Graphics,1814,7
632,Matrox C900 PCIe x16,1812,7
633,RadeonT RX 560X,1810,7
634,GeForce GTX 555,1807,7
635,GeForce GTX 670M,1807,7
636,Radeon R9 M275X,1802,7
637,Radeon HD 8870M / R9 M270X / M370X,1800,7
638,Radeon Ryzen 3 PRO 4200G with,1799,7
639,Ryzen 3 PRO 4200G with Radeon Graphics,1799,7
640,Embedded Radeon E9173,1798,7
641,Radeon Ryzen 5 4500U with,1798,7
642,Radeon R9 M360,1795,7
643,Intel Iris 650,1795,7
644,RadeonT 540X,1795,7
645,Radeon HD 8670D + 7700 Dual,1789,7
646,Radeon Ryzen 3 PRO 4200GE with,1784,7
647,Ryzen 3 PRO 4200GE with Radeon Graphics,1784,7
648,Intel Iris Plus 655,1772,7
649,Radeon Ryzen 5 PRO 4650U,1768,7
650,GeForce GTX 650,1767,7
651,Radeon Pro WX3200,1766,7
652,Radeon Ryzen 5 PRO 4650GE,1766,7
653,Radeon HD 5830,1759,7
654,FirePro W600,1752,7
655,Radeon Pro WX 4150,1752,7
656,Radeon Pro WX 2100,1752,7
657,Radeon RX Vega11,1751,7
658,Intel Iris Plus 645,1750,7
659,Ryzen 3 5400U with Radeon Graphics,1734,7
660,Radeon HD 6900M,1725,6
661,Intel UHD 750,1724,6
662,Radeon RX Vega 10,1719,6
663,Radeon Ryzen 3 PRO 4200GE,1712,6
664,Radeon,1706,6
665,Intel UHD,1701,6
666,FirePro W4100 Adapter,1693,6
